code,name,shortName,rif,URL
0001,Banco Central de Venezuela,BCV,G200001100,https://www.bcv.org.ve/
0102,Banco de Venezuela S.A.C.A. Banco Universal,Banco de Venezuela,G200099976,http://www.bancodevenezuela.com/
0104,"Venezolano de Crédito, S.A. Banco Universal",Venezolano de Crédito,J000029709,http://www.venezolano.com/
0105,"Banco Mercantil, C.A. Banco Universal",Mercantil,J000029610,https://www.mercantilbanco.com/
0108,"Banco Provincial, S.A. Banco Universal",Banco Provincial - BBVA,J000029679,https://www.provincial.com/
0114,Bancaribe C.A. Banco Universal,Bancaribe,J000029490,https://www.bancaribe.com.ve/
0115,Banco Exterior C.A. Banco Universal,Banco Exterior,J000029504,http://www.bancoexterior.com/
0116,"Banco Occidental de Descuento, Banco Universal C.A",BOD,J300619460,http://www.bod.com.ve/
0128,Banco Caroni C.A. Banco Universal ,Banco Caroni,J095048551,http://www.bancocaroni.com.ve/
0134,Banesco Banco Universal S.A.C.A.,Banesco,J070133805,http://www.banesco.com/
0137,"Banco Sofitasa, Banco Universal",Sofitasa,J090283846,http://www.sofitasa.com/
0138,"Banco Plaza, Banco Universal C.A",Banco Plaza,J002970553,http://www.bancoplaza.com/
0146,Banco de la Gente Emprendedora C.A,Bangente,J301442040,http://www.bangente.com.ve/
0151,Banco Fondo Común C.A. Banco Universal,Banco Fondo Comun,J000723060,https://www.bfc.com.ve/
0156,"100% Banco, Banco Universal C.A.",100% Banco,J085007768,http://www.100x100banco.com/
0157,"DelSur, Banco Universal C.A.",DelSur ,J000797234,http://www.delsur.com.ve/
0163,"Banco del Tesoro, C.A. Banco Universal",Banco del Tesoro,G200051876,http://www.bt.gob.ve/
0166,"Banco Agrícola de Venezuela, C.A. Banco Universal",Banco Agrícola,G200057955,http://www.bav.com.ve/  
0168,"Bancrecer, S.A. Banco Microfinanciero ",Bancrecer,J316374173,https://www.bancrecer.com.ve/
0169,"Mi Banco, Banco Microfinanciero C.A.",Mi Banco,J315941023,http://www.mibanco.com.ve/
0171,"Banco Activo, Banco Universal ",Banco Activo,J080066227,http://www.bancoactivo.com/
0172,"Bancamica, Banco Microfinanciero C.A. ",Bancamica,J316287599,http://www.bancamiga.com/
0173,"Banco Internacional de Desarrollo, C.A. Banco Universal",Banco Internacional de Desarrollo,J294640109,http://www.bid.com.ve/
0174,"Banplus Banco Universal, C.A  ",Banplus,J000423032,http://www.banplus.com/
0175,"Banco Bicentenario del Pueblo de la Clase Obrera, Mujer y Comunas B.U.",Banco Bicentenario,G200091487,http://www.bicentenariobu.com/
0176,"Novo Banco, S.A. Sucursal Venezuela Banco Universal",Novo Banco,J308918644,http://www.novobanco.com.ve/site/
0177,"Banco de la Fuerza Armada Nacional Bolivariana, B.U.",BANFANB,G200106573,http://www.banfanb.com.ve/
0190,Citibank N.A.,Citibank,J000526621,https://www.citibank.com.ve
0191,"Banco Nacional de Crédito, C.A. Banco Universal",BNC,J309841327,http://www.bnc.com.ve/
0601,Instituto Municipal de Crédito Popular,Instituto Municipal de Crédito Popular,G200068973,http://www.imcp.gob.ve/
